ncs_code;nom;noirceur%;saturation%;teinte;temperature;luminosite;clarte;is_neutre
S0550-G50Y;Olive;5;50;G50Y;chaud;lumineux;clair;0
S0550-G60Y;Jaune vert;5;50;G60Y;chaud;lumineux;clair;0
S0550-G70Y;Jaune vert;5;50;G70Y;chaud;lumineux;clair;0
S0550-G80Y;Jaune;5;50;G80Y;chaud;lumineux;clair;0
S0550-G90Y;Jaune;5;50;G90Y;chaud;lumineux;clair;0
S0550-R;Rose foncé;5;50;R;chaud;lumineux;clair;0
S0550-R10B;Rose;5;50;R10B;chaud;lumineux;clair;0
S0550-Y;Jaune;5;50;Y;chaud;lumineux;clair;0
S0550-Y10R;Jaune;5;50;Y10R;chaud;lumineux;clair;0
S0550-Y20R;Jaune beige;5;50;Y20R;chaud;lumineux;clair;0
S0550-Y30R;Jaune beige;5;50;Y30R;chaud;lumineux;clair;0
S0550-Y40R;Orange beige;5;50;Y40R;chaud;lumineux;clair;0
S0550-Y50R;Orange beige;5;50;Y50R;chaud;lumineux;clair;0
S0550-Y60R;Beige rosé;5;50;Y60R;chaud;lumineux;clair;0
S0550-Y70R;Beige rosé;5;50;Y70R;chaud;lumineux;clair;0
S0550-Y80R;Orange saumon;5;50;Y80R;chaud;lumineux;clair;0
S0550-Y90R;Rose foncé;5;50;Y90R;chaud;lumineux;clair;0
S0560-G50Y;Vert clair;5;60;G50Y;chaud;lumineux;clair;0
S0560-G60Y;Jaune vert;5;60;G60Y;chaud;lumineux;clair;0
S0560-G70Y;Jaune vert;5;60;G70Y;chaud;lumineux;clair;0
S0560-G80Y;Jaune;5;60;G80Y;chaud;lumineux;clair;0
S0560-G90Y;Jaune;5;60;G90Y;chaud;lumineux;clair;0
S0560-R;Rouge saumon;5;60;R;chaud;lumineux;clair;0
S0560-Y;Jaune;5;60;Y;chaud;lumineux;clair;0
S0560-Y10R;Jaune;5;60;Y10R;chaud;lumineux;clair;0
S0560-Y20R;Jaune orangé;5;60;Y20R;chaud;lumineux;clair;0
S0560-Y30R;Beige orangé;5;60;Y30R;chaud;lumineux;clair;0
S0560-Y40R;Beige orangé;5;60;Y40R;chaud;lumineux;clair;0
S0560-Y50R;Beige orangé;5;60;Y50R;chaud;lumineux;clair;0
S0560-Y60R;Beige orangé;5;60;Y60R;chaud;lumineux;clair;0
S0560-Y70R;Beige rosé;5;60;Y70R;chaud;lumineux;clair;0
S0560-Y80R;Rose foncé;5;60;Y80R;chaud;lumineux;clair;0
S0560-Y90R;Rose foncé;5;60;Y90R;chaud;lumineux;clair;0
S0565-G50Y;Vert clair;5;65;G50Y;chaud;lumineux;clair;0
S0565-R;Rouge saumon;5;65;R;chaud;lumineux;clair;0
S0570-G60Y;Vert clair;5;70;G60Y;chaud;lumineux;clair;0
S0570-G70Y;Jaune vert;5;70;G70Y;chaud;lumineux;clair;0
S0570-G80Y;Jaune;5;70;G80Y;chaud;lumineux;clair;0
S0570-G90Y;Jaune soufre;5;70;G90Y;chaud;lumineux;clair;0
S0570-Y;Jaune;5;70;Y;chaud;lumineux;clair;0
S0570-Y10R;Orange jaune;5;70;Y10R;chaud;lumineux;clair;0
S0570-Y20R;Orange jaune;5;70;Y20R;chaud;lumineux;clair;0
S0570-Y30R;Jaune safran- Jaune orangé;5;70;Y30R;chaud;lumineux;clair;0
S0570-Y40R;Orange;5;70;Y40R;chaud;lumineux;clair;0
S0570-Y50R;Orange;5;70;Y50R;chaud;lumineux;clair;0
S0570-Y60R;Orange;5;70;Y60R;chaud;lumineux;clair;0
S0570-Y70R;Rouge orangé;5;70;Y70R;chaud;lumineux;clair;0
S0570-Y80R;Orange rouge;5;70;Y80R;chaud;lumineux;clair;0
S0570-Y90R;Rouge;5;70;Y90R;chaud;lumineux;clair;0
S0575-G60Y;Jaune vert;5;75;G60Y;chaud;lumineux;clair;0
S0575-G70Y;Jaune vert;5;75;G70Y;chaud;lumineux;clair;0
S0575-G90Y;Jaune;5;75;G90Y;chaud;lumineux;clair;0
S0580-Y;Jaune;5;80;Y;chaud;lumineux;clair;0
S0580-Y10R;Jaune;5;80;Y10R;chaud;lumineux;clair;0
S0580-Y20R;Jaune de zinc- orangé;5;80;Y20R;chaud;lumineux;clair;0
S0580-Y30R;Jaune melon- Orange;5;80;Y30R;chaud;lumineux;clair;0
S0580-Y40R;Jaune Dalhia- Jaune orange;5;80;Y40R;chaud;lumineux;clair;0
S0580-Y50R;Orange;5;80;Y50R;chaud;lumineux;clair;0
S0580-Y60R;Orange;5;80;Y60R;chaud;lumineux;clair;0
S0580-Y70R;Rouge orangé;5;80;Y70R;chaud;lumineux;clair;0
S0580-Y80R;Rouge orange;5;80;Y80R;chaud;lumineux;clair;0
S0580-Y90R;Rouge;5;80;Y90R;chaud;lumineux;clair;0
